Objective1_(1-Accuracy),Objective2_(TotalTokens)
1.999999999999999556e-01,7.950000000000000000e+01
1.000000000000000000e+00,4.600000000000000000e+01
5.000000000000000000e-01,5.950000000000000000e+01
8.000000000000000444e-01,5.850000000000000000e+01
9.999999999999997780e-02,6.029999999999999716e+01
4.000000000000000222e-01,5.529999999999999716e+01
1.999999999999999556e-01,5.729999999999999716e+01
1.000000000000000000e+00,4.279999999999999716e+01
9.999999999999997780e-02,6.039999999999999858e+01
4.000000000000000222e-01,5.729999999999999716e+01
3.000000000000000444e-01,5.839999999999999858e+01
3.000000000000000444e-01,7.340000000000000568e+01
1.000000000000000000e+00,5.539999999999999858e+01
4.000000000000000222e-01,6.440000000000000568e+01
1.999999999999999556e-01,5.889999999999999858e+01
1.000000000000000000e+00,4.729999999999999716e+01
4.000000000000000222e-01,5.789999999999999858e+01
